year,id,authors,title,venue,paper_year
2000,0000050,"Anderson, J G; Alcantara, L; Almora, D; Castro, G; Ayala, M; Velasco, J M; Torres, M; Vazquez, R; Quaas, R; Guevara, E; Singh, S K","Strong ground motions on the Guerrero, Mexico accelerograph network from the 22 January 2003 Colima earthquake (Abstract)",Seismological Research Letters,2003
2000,0000050,"Haluk Sucuoglu, John G. Anderson, Yuehua Zeng","PREDICTING INTENSITY AND DAMAGE DISTRIBUTION DURING THE 1995 DINAR, TURKEY, EARTHQUAKE WITH GENERATED STRONG MOTION ACCELEROGRAMS",Bulletin of the Seismological Society of America,2000
2000,0000050,"Purvance, Matthew D. and John G. Anderson","A comprehensive study of the observed spectral decay in strong motion accelerations recorded in Guerrero, Mexico",Bulletin of the Seismological Society of America,2003
2000,0000050,"Purvance, M. D. and J. G. Anderson","The behavior of the spectral decay in strong ground motion accelerations recorded in Guerrero, Mexico","Proceedings, 7th U. S. National Conference on Earthquake Engineering, Boston, July 2000.",2002
2000,0000050,"Singh, S K; Pacheco, J F; Alcantara, L; Reyes, G; Ordaz, M; Iglesias, A; Alcocer, S M; Gutierrez, C; Valdes, C; Kostoglodov, V; Reyes, C; Mikumo, T; Quaas, R; Anderson, J G","A preliminary report on the Tecoman, Mexico earthquake of 22 January 2003 (M (sub w) 7.4) and its effects",Seismological Research Letters,2003
2000,0000050,"John G. Anderson, James N. Brune, Steven G. Wesnousky",Physical phenomena controlling high-frequency seismic wave generation in earthquakes,"Proceedings, 7th U. S. National Conference on Earthquake Engineering",2002
2000,0000244,Anthony S. Chen,"?The Hitlerian Rule of Quotas?: Racial Conservatism and the Politics of Fair Employment Legislation in New York State, 1941-1945,",Journal of American History,2006
2000,0000433,"S.  Rugaber,  T.  Shikano,  and  R.  E.  K.  Stirewalt",Adequate  reverse engineering,Proceedings of the 16th  IEEE International Conference on Automated Software Engineering (ASE'01),2001
2000,0000433,G. Gannod and B. H. C. Cheng,A Suite of Tools for Facilitating Reverse Engineering Using Formal Methods,Proc.  of  IEEE  International  Workshop on Program Comprehension,2001
2000,0000433,"L. A.  Campbell,  B. H. C. Cheng,  W.  E.  McUmber, R. E. K. Stirewalt",Automatically detecting and visualizing errors in UML diagrams,Requirements Engineering Journal,2002
2000,0000433,R. Behrends and R. E. K. Stirewalt,The Universe Model: An approach for improving the modularity and reliability of concurrent programs,Proc.  of  ACM  SIGSOFT  Symposium  on  Foundations  of  Software Engineering (FSE'2000),2000
2000,0000433,L. A. Campbell  and  B. H. C.  Cheng,Integrating  informal  and  formal  approaches  to  requirements  modeling  and  analysis,Proceedings of the IEEE International Symposium on Requirements Engineering (RE01),2001
2000,0000433,"Sascha Konrad, Laura A. Campbell, Betty H.C.","Cheng, and Min Deng","A Requirements Pattern-Driven Approach to Specify Systems and
  Check Properties, Model Checking Software, Lecture  Notes in Computer Science",2648
2000,0000433,R.  E.  K.  Stirewalt  and  L.  K.  Dillon,A  component-based  approach to  building  formal  analysis  tools,Proc.  2001  IEEE  Inter.  Conf. Software Engineering,2001
2000,0000433,B. H. C. Cheng,A  metamodel-based  approach  to  formalizing  UML,Proceedings  of  the  IEEE  International  Computer  Software  and  Applications  Conference  (COMPSAC01),2001
2000,0000433,S. Konrad and B. H. C. Cheng,Requirements patterns for embedded systems,Proceedings  of  the  IEEE  Joint  International  Conference on  Requirements  Engineering  (RE02),2002
2000,0000433,"Philip K. McKinley, Udiyan I. Padmanabhan, and Ancha Nandagopal",Experiments in Composing Proxy Audio Services for Mobile Users,Proceedings of the IFIP/ACM International Conference on Distributed Systems Platforms - Middleware 2001,2001
2000,0000433,C. Tang and P. K. McKinley,Modeling Multicast Packet Losses in Wireless LANs,"Proceedings of the Sixth ACM International Workshop on Modeling, Analysis and Simulation of Wireless and Mobile Systems",2003
2000,0000433,"M. Deng, R.E.K. Stirewalt, and B.H.C. Cheng",Retrieval-By-Construction: A Traceability Technique to Support Verication and Validation of UML Formalizations,"International Journal on Software Engineering and Knowledge Engineering, Special is sue on Traceability",2005
2000,0000433,Peng Ge and Philip K. McKinley,Experimental Evaluation of Error Control for Video Multicast over Wireless LANs,Proceedings of the Third International Workshop on Multimedia Network Systems,2001
2000,0000433,"Ji Zhang  Zhenxiao Yang, Betty H. C. Cheng, and Philip K. McKinley","
Adding Safeness to Dynamic Adaptation Techniques",Workshop on Architecture for Dependable Systems (WADS04) associated with IEEE International Conference on Software Engineering (ICSE04),2004
2000,0000433,Ji Zhang and Betty Cheng,Model-Based Development of Dynamically Adaptive Software,Proceedings of IEEE International Conference on Software Engineering (ICSE06),2006
2000,0000433,Ji Zhang and Betty H.C. Cheng,Using Temporal Logic to Specify Adaptive Program Semantics,"Journal of Systems and Software, Elsevier. Special issue on Architecting Dependable Systems,",2006
2000,0000433,"Z. Yang, B. H. C. Cheng, R. E. K. Stirewalt, J. Sowell,
S. M. Sadjadi, and P. K. McKinley",An Aspect-Oriented Approach to Dynamic Adaptation,"Proceedings of the ACM SIGSOFT Workshop on Self-Healing Systems
(WOSS02)",2002
2000,0000433,J. Zhang and B.H.C. Cheng,Specifying Adaptation Semantics,IEEE ICSE Workshop on Architecting Dependable Systems (WADS),2005
2000,0000433,"J. Zhang, B.H.C.Cheng, Z. Yang, and P.K. McKinley",Enabling Safe Dynamic Component-Based Software Adaptation,"Architecting Dependable Systems, SpringerLecture Notes for Computer Science, Springer",2005
2000,0000433,"J. Zhang, Z. Zhou, B.H.C.Cheng, and P.K. McKinley",Specifying Real-time Properties in Autonomic Systems,"Innovations in Systems and Software Engineering, Springer",2007
2000,0000433,J. Bisbal and B.H.C. Cheng,Resource-based Approach to Feature Interaction in Adaptive Software,"ACM SIGSOFT Workshop on Self-Managing Systems, workshop colocated with ACM SIGSOFT Foundations of Software Engineering (FSE)",2004
2000,0000433,"S. Sadjadi, P. K. McKinley, E. P. Kasten",Architecture and Operation of an Adaptable Communication Substrate,"Proceedings of the Ninth IEEE International Workshop on Future
Trends in Distributed Computing Systems",2003
2000,0000433,"Sascha Konrad, Laura A. Campbell, and Betty H.C.",Cheng,Adding Formal Specifications to Requirements Patterns,
2000,0000433,"P. K. McKinley, S. M. Sadjadi, and E. P. Kasten",An Adaptive Software Approach to Intrusion Detection and Response,"Proceedings of the 10th International Conference on
Telecommunication Systems Modeling and Analysis",2002
2000,0000433,"P. K. McKinley, S. Sadjadi, E. P. Kasten, and R. Kalaskar",Programming Language Support for Adaptable Wearable Computing,"Proceedings of the Sixth International Symposium on Wearable
Computers",2002
2000,0000433,"P. McKinley, R.E.K. Stirewalt, B.H.C. Cheng, L.K. Dillon, and S. Kulkarni","Interactive Distributed Applications and the Computer Science
Curriculum",IEEE Distributed Systems Online Journal,2002
2000,0000433,"Heather Goldsby, Betty H.C. Cheng, Sascha Konrad, and Stephane Kamdoum",A Visualization Framework for the Modeling and Formal Analysis of High Assurance Systems,Proceedings of ACM/IEEE Int. Conference Model-Driven Engineering Languages and Systems (MoDELS/UML 2006),2006
2000,0000433,"H. Goldsby, B.H.C. Cheng",Goal-Oriented Modeling of Requirements Engineering for Dynamically Adaptive Systems,"Proceedings of 14th IEEE International Requirements Engineering Conference (RE06),",2006
2000,0000433,"Gregory Brown, Betty H.C. Cheng, and Ji Zhang",Goal-oriented Speci cation of Adaptation Requirements in Adaptive Systems,"IEEE ICSE Workshop of Software Engineering of Adaptive and Self-Managing Systems (SEAMS06),",2006
2000,0000433,R. E. K. Stirewalt and L. K. Dillon,Generation of visitor components that implement program transformations,Proc. ACM Symp. Software Reuse,2001
2000,0000433,B. H. C. Cheng and  Enoch Y. Wang,Formalizing and Integrating the Dynamic Model for Object-Oriented Modeling,IEEE Transactions on Software Engineering,2002
2000,0000433,"P. K. McKinley, U. I. Padmanabhan, N. Ancha, and S. M. Sadjadi",Composable Proxy Services to Support Collaboration on the Mobile Internet,IEEE Transactions on Computers,2003
2000,0000433,P. Ge and P. K. McKinley,Comparisons of Error Control Techniques for Wireless Video Multicasting,"Proceedings of the IEEE International Performance, Computing, and Communications Conference",2002
2000,0000433,"P. K. McKinley, S. M. Sadjadi, E. P. Kasten, and B. H. C. Cheng",Composing Adaptive Software,IEEE Computer,2004
2000,0000433,Philip K. McKinley and U. I. Padmanabhan,Design of Composable Proxy Filters for Mobile Computing,Proceedings of the Second International Workshop on Wireless Networks and Mobile Computing,2001
2000,0000433,W.  E.  McUmber  and  B.  H.  C.  Cheng,A  general  framework  for  formalizing  UML  with  formal  languages,Proceedings  of  IEEE  International  Conference  on  Software  Engineering  (ICSE01),2001
2000,0000433,L.  A.  Campbell  and  B.  H.  C.  Cheng,Object-oriented  modeling  and  automated  analysis  of  a  telemedicine  application,"Proceedings  of the IEEE International Workshop on Software Specification and Design (IWSSD-10).,",2000
2000,0000433,E. P. Kasten and P. K. McKinley,Perimorph: Run-Time Composition and State Management for Adaptive Systems,Proceedings of Fourth International Workshop on Distributed Auto-Adaptive and Reconfigurable Systems,2004
2000,0000433,C. Tang and P. K. McKinley,On the Cost-Quality Tradeoff in Topology-Aware Overlay Path Probing,Proceedings of the 11th IEEE International Conference on Network Protocols (ICNP),2003
2000,0000433,"(Sascha Konrad, Heather Goldsby, Karli Lopez, and Betty H.C. Cheng",Visualizing Requirements in UML Models,"International Workshop on Requirements Engineering Visualization (REV 2006), held in conjunction with RE06,",2006
2000,0000433,L. K. Dillon and R. E. K. Stirewalt,Lightweight analysis of operational specifications using inference graphs,Proc. 2001 IEEE Inter. Conf. Software Engineering,2001
2000,0000433,"Philip K. McKinley, Chiping Tang, and Arun P. Mani",A Study of Adaptive Forward Error Correction for for Wireless Collaborative Computin,IEEE Transactions on Parallel and Distributed Systems,2002
2000,0000433,"Daniel M. Berry, Betty H.C. Cheng, and Ji Zhang",The Four Levels of Requirements Engineering for and in Dynamic Adaptive Systems,Proceedings of 11th International Workshop on Requirements Engineering Foundation for Software Quality (REFSQ),2005
2000,0000433,"Ali Ebnenasir, Betty H.C. Cheng, Sascha. Konrad",Use Case-Based Modeling and Analysis of Failsafe Fault-Tolerance,"Proceedings of 14th IEEE International Requirements Engineering Conference (RE06),",2006
2000,0000433,"Z. Yang, Z. Zhou, B. H. C. Cheng, and P. K. McKinley",Enabling Collaborative Adaptation across Legacy Components,"Proceedings of the Third Workshop on Reflectiveand Adaptive Middleware (with Middleware'04),",2004
2000,0000433,"Z. Zhou, J. Zhang, P. K. McKinley, and B. H. C. Cheng",TA-:LTL: Specifying Adaptation Timing Properties in Autonomic Systems,3rd IEEE Workshop on Engineering of Autonomic and Autonomous Systems (EASe 2006),2006
2000,0000433,"Scott D. Fleming, B.H.C. Cheng, K. Stirewalt, P.K. McKinley",An Approach to Implementing Dynamic Adaptation in C++,IEEE ICSE Workshop on Design and Evolution of Autonomic Computing Systems (DEAS),2005
2000,0000433,Sascha Konrad and Betty H.C. Cheng,Automated Analysis of Natural Language Properties for UML Models,"MoDELS Workshop on Model Design and Validation (MoDEVA), selected as a Best Paper. An extended and updated version of the paper appears in Lecture Notes in Computer Science, Satellite Proceedings of ACM/IEEE MoDELS Conference",2006
2000,0000433,"Sascha Konrad and Betty H.C. Cheng,",Automated Analysis of Natural Language Properties for UML Models,"Springer Lecture Notes in Computer Science, Satellite Proceedings of ACM/IEEE MODELS Conference",2006
2000,0000433,"Sascha Konrad, Laura Campbell, and Betty H.C. Cheng",Automated Analysis of Timing Information in UML Diagrams,Proc. of IEEE International Conference on Automated Software Engineering,2004
2000,0000433,S. Konrad and B.H.C. Cheng,"Facilitating the Construction of Speci cation Patterns-based Properties""",13th IEEE International Requirements Engineering Conference (RE05),2005
2000,0000433,S. Konrad and B.H.C. Cheng,Real-time Specification Patterns,"IEEE International Conference on Software Engineering (ICSE05),",2005
2000,0000433,"S. Konrad, B.H.C. Cheng,  L. Campbell, and R. Wassermann),",Using Security Patterns to Model and Analyze Security Requirements,"IEEE Workshop on Requirements for High Assurance Systems, (RHAS03)",2003
2000,0000433,"S. Konrad, B.H.C. Cheng, and L.Campbell",Object Analysis Patterns for Embedded Systems,IEEE Transactions on Software Engineering,2004
2000,0000433,"S. M. Sadjadi, P. K. McKinley, B. H. C. Cheng, and R. E. K. Stirewalt",TRAP/J: Transparent Generation of Adaptable Java Programs,"Proceedings of the 2004 International Symposium on Distributed Objects and Applications,",2004
2000,0000433,"S. M. Sadjadi, P. K. McKinley, R. E. K. Stirewalt, and B. H.C. Cheng",Generation of self-optimizing wireless network applications,"Proceedings of of the International Conference on Autonomic Computing (ICAC-04),",2004
2000,0000433,"S. Masoud Sadjadi, P.K. McKinley, and B.H.C. Cheng",Transparent Shaping of Existing Software to Support Pervasive and Autonomic Computing,"IEEE ICSE Workshop on Design and Evolution of Autonomic Computing Systems (DEAS),",2005
2000,0000433,"Ryan Stephenson, Betty H.C. Cheng, Brian Berenbach",Lessons Learned from Metrics-Based Automated Analysis of Industrial UML Models,"Proceedings of ACM/IEEE Int. Conference Model-Driven Engineering Languages and Systems (MoDELS/UML 2005),",2005
2000,0000433,"Robert France, James Bieman, and Betty H.C. Cheng",CRI Collaborative Project Report: Repository for Model Driven Development (ReMoDD),"Proceedings of CRI of PI Meeting, Snowbird, Utah",2006
2000,0000433,"Robert France, Jim Bieman, and Betty H.C. Cheng",Repository for Model Driven Development (ReMoDD),"Models in Software Engineering, Springer Lecture Notes for Computer Science, LNCS,",2007
2000,0000433,"R. E. K. Stirewalt, Min Deng, and Betty H. C. Cheng",UML formalization is a traceability problem,3rd International Workshop on Traceability in Emerging Forms of Software Engineering (TEFSE05 (in conjunction with ASE05),2005
2000,0000433,"P. K. McKinley, S. M. Sadjadi, E. P. Kasten, and B. H. C. Cheng",Composing Adaptive Software,IEEE Computer,2004
2000,0000433,S. M. Sadjadi and P. K. McKinley,ACT: An Adaptive CORBA Template to Support Unanticipated Adaptation,Proceedings of the 24th IEEE International Conference on Distributed Computing Systems,2004
2000,0000433,S. M. Sadjadi and P. K. McKinley,Transparent Self-Optimization in Existing CORBA Applications,Proceedings of the International Conference on Autonomic Computing (ICAC-04),2004
2000,0000433,"S. M. Sadjadi, P. K. McKinley, and B. H. C. Cheng",Transparent Shaping of Existing Software to Support Pervasive and Autonomic Computing,Proceedings of the ICSE Workshop on Design and Evolution of Autonomic Application Software (DEAS),2005
2000,0000433,"Z. Yang, Z. Zhou, B. H. C. Cheng, and P. K. McKinley",Enabling Collaborative Adaptation across Legacy Components,Proceedings of the Third Workshop on Reflective and Adaptive Middleware (with Middleware'04),2004
2000,0000433,"Z. Zhou, P. K. McKinley, and S. M. Sadjadi",On Quality-of-Service and Energy Consumption Tradeoffs in FEC-Enabled Audio Streaming,Proceedings of the 12th IEEE International Workshop on Quality of Service (IWQoS 2004),2004
2000,0000433,E. P. Kasten and P. K. McKinley,MESO: Perceptual memory to support online learning in adaptive software,Proceedings of the 3rd International Conference on Development and Learning (ICDL'04),2004
2000,0000433,"F. Samimi, P. K. McKinley, S. M. Sadjadi, and P. Ge",Kernel-Middleware Interaction to Support Adaptation in Pervasive Computing Environments,Proceedings of the Second International Workshop on Middleware for Pervasive and Ad-Hoc Computing,2004
2000,0000433,C. Tang and P. K. McKinley,A Distributed Approach to Topology-Aware Overlay Path Monitoring,Proceedings of the 24th IEEE International Conference on Distributed Computing Systems,2004
2000,0000433,L. K. Dillon  and  R. E. K.  Stirewalt,Inference  graphs:  An  abstraction  supporting  generation  of  customizable  and  correct  analysis  components,"IEEE Trans. Software Engineering.
", 200
2000,0000466,"Olson, R.S., Gawronski, V.T.","Disasters as Critical Junctures? Managua, Nicaragua 1972 and Mexico City 1985",International Journal of Mass Emergencies and Disasters,2003
2000,0000526,"T. Nishikawa, Z. Toroczkai and C. Grebogi",Advective coalescence in chaotic flows,Physical Review Letters,2001
2000,0000526,"T. Nishikawa, Z. Toroczkai, C. Grebogi, and T. Tel",Particle inertia and finite size effects on active chaotci advection,Physical Review E,2002
2000,0000526,"G. Santobonni, T. Nishikawa, Z. Toroczkai, and C. Grebogi",Autocatalytic Reactions of Phase Distributed Active Particles,Chaos,2002
2000,0000526,"I. Scheuring, G. Karolyi, Z. Toroczkai, T. Tel, and A. Pentek",Competing populations in flows with chaotic mixing,Theor. Population Biol.,2003
2000,0000526,"I. Benczik, Z. Toroczkai, and T. Tel",Selective sensitivity of open chaotic flows in inertial tracer,Physical Review Letters,2002
2000,0000526,"R. D. Vilela, A. P. S. Moura and C. Grebogi",Finite-size Effects on Open Chaotic Advection,Physical Review E,2006
2000,0000526,"I Scheuring, G. Karolyi, A. Pentek, T. Tel, and Z. Toroczkai",A model for solving the plankton paradox: coexistence in open flows,Freshwater Biology,2000
2000,0000526,"G. Karolyi, A. Pentek, I. Scheuring, T. Tel, and Z. Toroczkai",Chaotic Flow: the physics of species coexistence,"Proc. National Academy of Sciences, USA",2000
2000,0000526,"Z. Toroczkai, G. Karolyi, A. Pentek, T. Tel, and I. Scheuring",Autocatalytic reactions in systems with hyperbolic mixing: exact results for the active baker map,Journal of Physics A: Math. Gen.,2001
2000,0000597,"Greene, LH; Wijesinha-Bettoni, R; Redfield, C",Characterization of the molten globule of human serum retinol-binding protein using NMR Spectroscopy,BIOCHEMISTRY,2006
2000,0000597,Lesley H. Greene and Victoria A. Higman,Uncovering Network Systems Within Protein Structures,Journal Of Molecular Biology,2003
